Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,201415,2015,DateUpdated,UpdatedByInitials,Order
Child Health,"Newly Identified Elevated Blood Lead Levels (10+ mcg/dL) in Children, < 6 Years of Age",,Percentage,"Pennsylvania's National Electronic Disease Surveillance System (PA-NEDSS), as reported by Environmental Health Services, Philadelphia Department of Public Health",2006-2015,"Percentage of children, 0-5 years old, with newly identified blood lead levels (BLLs) at or above 10 mcg/dL using any blood specimens for screening.",,,,,,,,0.08,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,,0.01,8/22/2016,mlp,41
Child Health,"Pedestrian and Bicycle Crashes per 100,000 Children, < 18 Years of Age",,Rate,Pennsylvania Department of Transportation,2011-2015,"Rate of pedestrian and bicyclist crashes involving motor vehicles per 100,000 children under 18.",,,,,,,,,,,,,644.8,633.2,668.9,608.9,,598,11/9/2016,AH,42
Child Health,"Child Mortality Rate per 100,000 Children, < 18 Years of Age",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Age-adjusted mortality rate per 100,000 children under 18 years of age.",See PDPH Vital Statistics Reports for causes of death by age: http://www.phila.gov/health/commissioner/VitalStatistics.html,86,92,89,84.4,89.2,91.1,87.5,95,82.7,77.2,78.8,65.5,78.6,63.9,,,,10/21/2016,mlp,43
Access to Care,"Adults Without Insurance, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults, age 18-64 years old, reporting no source of insurance.",,0.1,,0.13,,0.14,,0.14,,0.16,,0.16,,0.19,,,0.12,,8/29/2016,mlp,44
Access to Care,"Children Without Insurance, Over 18 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,Percentage of children under 18 for whom no source of insurance is reported by adult proxy.,,0.04,,0.05,,0.07,,0.06,,0.05,,0.05,,0.05,,,,,8/29/2016,mlp,45
Access to Care,"Adults Covered by Medicaid, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults, age 18-64 years, reporting insurance coverage through Medicaid, Medical Assistance (M.A.), HealthChoices, or Access Card.",,0.18,,0.16,,0.16,,0.17,,0.19,,0.19,,0.2,,,,,8/29/2016,mlp,46
Access to Care,"Adults Forgoing Care Due to Cost, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults, age 18-64 years, answering ""yes"" to the question, ""In the past year, has there been any time when you were sick or injured AND did not seek health care because of the cost?""",,0.1,,,,0.13,,0.14,,0.17,,0.16,,0.19,,,,,8/29/2016,mlp,47
Access to Care,"Ambulatory Care Sensitive Hospitalization Rate per 100,000 People, < 75 Years of Age",,Rate,Pennsylvania Health Care Cost Containment Council,2005-2014,"Age-adjusted rate per 100,000 persons for conditions where appropriate ambulatory care prevents or reduces the need for admission to the hospital, for population under 75 years of age. ","The methods for calculating ambulatory care sensitive hospitalizations have been updated since prior reports, and all data years have been recalculated.",,,,,,1519.5,1612.3,1640.4,1612.2,1550.2,1395.5,1345.4,1268.5,1212,,,,9/25/1902,,48
Access to Care,"Children with Dental Visit in Past Year, 3-17 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of children, age 3-17 years, for whom adult proxy reported dental visit in past 12 months.",,0.72,,0.79,,0.79,,0.82,,0.84,,0.87,,0.82,,,,,8/29/2016,mlp,49
Cancer Screening and Prevention,"Cancer Mortality per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Age-adjusted rate of cancer deaths per 100,000 persons.",,249.7,250.3,240.3,243.3,231.3,222.8,228.1,223.1,211.8,219.1,203.3,214.7,206.8,197.2,,,,10/21/2016,mlp,50
Cancer Screening and Prevention,"Adults with Colonoscopy or Sigmoidoscopy in Lifetime, 50-74 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2002-2014/15,"Percentage of adults, age 50-74 years, reporting ever having had a colonoscopy or sigmoidoscopy.",,,,0.55,,0.52,,0.59,,0.64,,0.68,,0.75,,,,,8/29/2016,mlp,51
Cancer Screening and Prevention,"Women with Mammography in Past 2 Years, 50-74 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of women, age 50-74 years, reporting having had a mammogram in the past 2 years.",,0.84,,0.84,,0.83,,0.81,,0.82,,0.83,,0.83,,,,,8/29/2016,mlp,52
Cancer Screening and Prevention,"Girls Completing 3-Dose HPV Vaccine, 13-17 Years of Age",,Percentage,"Division of Disease Control, Philadelphia Department of Public Health",2008-2015,"Percentage of girls, age 13-17 years, who received 3 doses of HPV vaccine out of all girls 13-17 years in the population.","Data are based on local reporting of immunizations provided by clinicians, and some underreporting for adolescents may occur.",,,,,,,,,0.08,0.14,0.18,0.21,0.38,0.42,,,0.54,9/19/2016,mlp,53
Environmental Health,Food Establishments in Compliance with Food Safety Regulations Upon Initial Annual Inspection,,Percentage,"Environmental Health Services, Philadelphia Department of Public Health",2010-2015,Percentage of food establishments in compliance with food safety regulations upon initial annual inspection by the Philadelphia Department of Public Health.,Data are by fiscal year.,,,,,,,,,,,0.36,0.35,0.39,0.59,,,0.51,11/30/2016,mlp,54
Environmental Health,"Rat Complaints per 10,000 People",,Rate,"Environmental Health Services, Philadelphia Department of Public Health",2011-2015,"Rate of rat complaint calls to the Philadelphia Department of Public Health per 10,000 residents.","The methods for calculating rat complaints per 10,000 people have been updated slightly since prior reports, and all data years have been recalculated.",,,,,,,,,,,,19.13,18.58,19.08,,,17.25,10/21/2016,AH,55
Environmental Health,Days with Good Air Quality,,Count,"United States Environmental Protection Agency (EPA) AMP410S report dated 6/28/16, as reported by Air Management Services, Philadelphia Department of Public Health",2000-2015,"Number of days of the year with Air Quality Index (AQI) levels of 0-50, wherein air quality is considered satisfactory and air pollution poses little or no risk. AQI is a scale from 0 to 500, reflecting measures of ground-level ozone, particulate matter, carbon monoxide, sulfur dioxide, and nitrogen dioxide.",The reporting is based on 2015 Environmental Protection Agency standards.,137,98,121,142,134,148,147,136,128,183,171,155,135,166,,,177,9/19/2016,mlp,56
Environmental Health,Days with Moderate Air Quality,,Count,"United States Environmental Protection Agency (EPA) AMP410S report dated 6/28/16, as reported by Air Management Services, Philadelphia Department of Public Health",2000-2015,"Number of days of the year with Air Quality Index (AQI) levels of 51-150, wherein air quality is considered acceptable but may be unhealthy for sensitive groups. AQI is a scale from 0 to 500, reflecting measures of ground-level ozone, particulate matter, carbon monoxide, sulfur dioxide, and nitrogen dioxide.",The reporting is based on 2015 Environmental Protection Agency standards.,200,214,183,184,200,177,174,189,210,174,166,190,203,189,,,172,,,57
Environmental Health,Days with Unhealthy Air Quality,,Count,"United States Environmental Protection Agency (EPA) AMP410S report dated 6/28/16, as reported by Air Management Services, Philadelphia Department of Public Health",2000-2015,"Number of days of the year with Air Quality Index (AQI) levels of 151-500, wherein air quality is considered “unhealthy to sensitive people” to “hazardous”, and everyone may begin to experience some adverse health effects.  AQI is a scale from 0 to 500, reflecting measures of ground-level ozone, particulate matter, carbon monoxide, sulfur dioxide, and nitrogen dioxide.",The reporting is based on 2015 Environmental Protection Agency standards.,29,53,61,39,32,40,44,40,28,8,28,20,28,10,,,16,,,58
Environmental Health,"Philadelphia Building Construction and Occupancy Code Violations per 1,000 Occupied Housing Units",,Rate,City of Philadelphia Licenses and Inspections,2007-2015,"Rate of Philadelphia Building Construction and Occupancy Code violations per 1,000 occupied housing units. Violations are based on follow-up inspections to complaints filed through Philly 311.",,,,,,,,,199.2,218.9,164.7,164.8,180.3,181.7,182.9,,,185.4,10/13/2016,AH,59
Violence,"Violent Crime Rate per 100,000 People",,Rate,FBI Uniform Crime Reports,2000-2014,"Rate per 100,000 persons of reported violent crimes, including murders and non-negligent manslaughters, forcible rapes, robberies, and aggravated assaults.",,1503.2,1409.7,1315.9,1378.4,1408.3,1467.1,1562.5,1475.4,1441.3,1238.2,1214.6,1193.3,1160.1,1099.3,,,,8/22/2016,mlp,60
Violence,"Homicide Mortality Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2003-2015,"Rate of homicide deaths per 100,000 persons.",,,,,22,21.2,24,25.2,24.4,21.2,19.5,19.1,20.5,21.2,15.5,,,17.8,9/20/2016,mlp,61
Violence,"Firearm Homicide Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2003-2015,"Rate of intentional deaths by discharge of firearm per 100,000 persons.",,,,,19.4,18.8,21.5,23.9,22.6,19,17.3,16.8,18.5,19,13.6,,,16.2,9/20/2016,mlp,62
Mental Health and Substance Abuse,"Suicide Mortality Rate per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Age-adjusted rate of deaths by intentional self-harm per 100,000 persons.",,10.6,9.2,10.5,10.9,10.1,10.8,9,8.7,11.7,10,9.5,10.1,10.7,9.5,,,,10/21/2016,mlp,63
Mental Health and Substance Abuse,"Teens Considering Suicide in Past Year, 9th-12th grade",,Percentage,Youth Risk Behavior Surveillance System,2001-2015,Percentage of 9th-12th grade students who seriously considered attempting suicide in past 12 months.,,,0.17,,0.14,,,,0.15,,0.14,,0.14,,0.13,,,0.14,9/25/2016,mlp,64
Mental Health and Substance Abuse,Adults with Diagnosed Mental Health Condition,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults answering ""yes"" to the question, ""Have you ever been diagnosed with any mental health condition, including clinical depression, anxiety disorder or bipolar disorder?""",,0.11,,0.13,,0.13,,0.14,,0.12,,0.16,,0.2,,,,,8/29/2016,mlp,65
Mental Health and Substance Abuse,"Opioid-Related Mortality Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2003-2015,"Rate of deaths per 100,000 persons that were determined by the medical examiner to be caused by drug/medication overdose and for which a toxicology test was positive for an opioid.","Opioids include heroin, morphine, methadone, and all prescriptions opioids such as codeine, hydrocodone, and oxycodone.",,,,14,16.5,17.7,27.3,17.4,20.3,17.5,18.6,23.1,25.2,21,28.4,,32.7,9/20/2016,mlp,66
Built Environment,Low-to-no Walkable Access to Healthy Foods and High Poverty,,Percentage,"Get Healthy Philly, Philadelphia Department of Public Health",2010-2014,Percentage of population living in high-poverty areas with low-to-no walkable access to healthy foods as assessed in PDPH's [Food Access Report](http://www.phila.gov/health/pdfs/WalkableAccessHealthyFood20122014.pdf).,,,,,,,,,,,,0.24,,0.2,,,0.22,,7/22/2016,AH,67
Built Environment,Access to Nearby Parks or Outdoor Space,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012 - 2014/15,"Percentage of adults responding yes to the question, “Is there a park or other outdoor space in your neighborhood that you’re comfortable visiting during the day?” ",,,,,,,,,,,,,,0.72,,,0.73,,8/29/2016,mlp,68
Built Environment,"Pedestrian and Bicycle Crashes per 100,000 People",,Rate,Pennsylvania Department of Transportation,2011-2015,"Rate of pedestrian and bicyclist crashes involving motor vehicles per 100,000 persons.",,!,,,,,,,,,,,145.2,142.6,148.6,135.2,,132.2,11/9/2016,AH,69
Social Determinants of Health,Advanced or Proficient Reading Skills in 3rd Grade,,Percentage,School District of Philadelphia,2006-2014,Percentage of 3rd graders who score at the advanced or proficient levels of English Language Arts (ELA) as assessed by the Pennsylvania System of School Assessment (PSSA) standardized test.,"Data are by school year. For example, 2005 refers to the school year spanning fall 2004 and spring 2005. ",,,,,,,0.37,0.42,0.47,0.54,0.52,0.58,0.45,0.45,0.41,,,11/23/2016,mlp,70
Social Determinants of Health,Advanced or Proficient Reading Skills and English Language Arts (ELA) Achievemet in 3rd Grade,,Percentage,School District of Philadelphia,2015,Percentage of 3rd graders who score at the advanced or proficient levels of English Language Arts (ELA) as assessed by the Pennsylvania System of School Assessment (PSSA) standardized test.,"Data are by school year. For example, 2005 refers to the school year spanning fall 2004 and spring 2005. This is a new exam, beginning in 2015, so data from prior years is not comparable.",,,,,,,,,,,,,,,,,0.3334554446,12/2/2016,AH,71
Social Determinants of Health,On-Time High School Graduation,,Percentage,School District of Philadelphia as reported by The Notebook,2010-2015,Percentage of all students who graduate from high school within four years after starting 9th grade.,"Data are by school year. For example, 2005 refers to the school year spanning fall 2004 and spring 2005.",,,,,,,,,,,0.6,0.63,0.66,0.65,0.65,,0.65,7/18/2016,jtd,72
Social Determinants of Health,"Adults Completing Some College, 25 Years of Age or Older",,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,"Percentage of adults, 25 years or older, who completed at least some college.",Please note that data years differ across dimensions for this indicator.,0.38,,,,,0.37,0.4,0.43,0.43,0.46,0.44,0.47,0.47,0.48,0.48,,0.5,7/25/2016,jtd,73
Social Determinants of Health,"Unemployment, 16 Years of Age or Older",,Percentage,"Bureau of Labor Statistics, Local Area Unemployment Statistics - Annual Averages (County data)",2000-2015,"Percentage of population, 16 years or older, who are unemployed but seeking work.",Please note that data sources and years differ across dimensions for this indicator.,0.06,0.06,0.07,0.08,0.07,0.07,0.06,0.06,0.07,0.1,0.11,0.11,0.11,0.1,0.08,,0.07,8/19/2016,mlp,74
Social Determinants of Health,Philadelphians Living in Poverty,,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,"Percentage of population, including all ages, living in a household with an income below 100% of the federal poverty level (FPL).","In 2015, the FPL was equivalent to a yearly income of no more than $11,770 for an individual, or $24,250 for a family of 4. Please note that data years differ across dimensions for this indicator.",0.23,,,,,0.25,0.25,0.24,0.24,0.25,0.27,0.28,0.27,0.26,0.26,,0.26,7/25/2016,jtd,75
Social Determinants of Health,"Children Living in Poverty, Over 18 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,Percentage of children under 18 with a family income below 100% of the federal poverty level (FPL).,"In 2015, the FPL was equivalent to a yearly income of no more than $11,770 for an individual, or $24,250 for a family of 4. Please note that data years differ across dimensions for this indicator.",0.32,,,,,,0.35,0.35,0.31,0.33,0.36,0.39,0.37,0.36,0.37,,0.38,8/2/2016,jtd,76
Social Determinants of Health,"Children in Single-Parent Households, Over 18 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2005-2015,Percentage of all children in family households that live in a household headed by a single parent (male or female head of household with no spouse present).,,,,,,,0.62,0.59,0.55,0.58,0.56,0.59,0.58,0.61,0.58,0.59,,0.6,8/2/2016,jtd,77
Social Determinants of Health,Social Capital,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2002-2014/15,"Percentage of adults reporting ""yes"" to, ""Have people in your neighborhood ever worked together to improve the neighborhood? For example, through a neighborhood watch, creating a community garden, building a community playground, or participating in a block party.""",,,,0.71,,0.66,,0.66,,0.67,,0.73,,0.66,,,0.65,,8/29/2016,mlp,78
Social Determinants of Health,Housing-Cost Burden for Renters,,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,Percentage of the household population who pays 30% or more of their income for rental housing.,"According to the US Department of Housing and Urban Development (HUD), families who pay more than 30% of their income for housing are considered cost burdened and may have difficulty affording necessities such as food, clothing, transportation, and medical care.",0.43,,,,,0.52,0.52,0.5,0.5,0.5,0.53,0.53,0.52,0.52,0.53,,0.52,10/19/2016,mlp,79
Social Determinants of Health,Severe Housing-Cost Burden for Renters,,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,Percentage of the household population who pays 50% or more of their income for rental housing.,"According to the US Department of Housing and Urban Development (HUD), families who pay more than 30% of their income for housing are considered cost burdened and may have difficulty affording necessities such as food, clothing, transportation, and medical care.",0.24,,,,,0.31,0.3,0.29,0.29,0.3,0.31,0.33,0.3,0.31,0.3,,0.3,10/19/2016,mlp,80